"model_id","horizon","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat",0,0.256575351591367,0.375845104813788,0.872727272727273,1,65
"epiENGAGE-Copycat",1,0.265441026890721,0.423220293601226,0.92,1,65
"epiENGAGE-Copycat",2,0.271970985504243,0.49816993956664,0.888888888888889,1,65
"epiENGAGE-Copycat",3,0.278224566652194,0.458279252724851,0.85,1,65
"epiENGAGE-Copycat",4,0.279460317460317,0.471428571428571,0.885714285714286,1,35
"epiENGAGE-Copycat",-1,0.0636531348825712,0.107307630098711,0.8,1,30
"epiENGAGE-GBQR",-1,0.131602381691407,0.268499230557608,0.276923076923077,0.953846153846154,70
"epiENGAGE-GBQR",0,0.226000617093001,0.384151274351477,0.216666666666667,0.833333333333333,70
"epiENGAGE-GBQR",1,0.299000195453966,0.510210963946424,0.145454545454545,0.745454545454545,70
"epiENGAGE-GBQR",2,0.436873931059369,0.669274493097629,0.1,0.62,70
"epiENGAGE-GBQR",3,0.539791554412472,0.791740210811577,0.133333333333333,0.644444444444444,70
"epiENGAGE-INFLAenza",-1,0.199622215056276,0.3808557038104,0.738461538461539,1,70
"epiENGAGE-INFLAenza",0,0.223342998276726,0.455604991466925,0.666666666666667,1,70
"epiENGAGE-INFLAenza",1,0.235667497181794,0.479316722910367,0.545454545454545,1,70
"epiENGAGE-INFLAenza",2,0.256664263305051,0.550895769751619,0.54,1,70
"epiENGAGE-baseline",-1,0.14624830575367,0.205125,0.5625,1,85
"epiENGAGE-baseline",0,0.476698140696252,0.874666666666667,0.373333333333333,0.906666666666667,85
"epiENGAGE-baseline",1,0.815821863371308,1.45785714285714,0.414285714285714,0.9,85
"epiENGAGE-baseline",2,1.18462309245143,2.084,0.338461538461538,0.846153846153846,85
"epiENGAGE-baseline",3,1.48074228786657,2.59016666666667,0.3,0.816666666666667,85
"epiENGAGE-ensemble_mean",-1,0.111451932957669,0.19660968176342,0.666666666666667,1,60
"epiENGAGE-ensemble_mean",0,0.158827478136269,0.283219073052859,0.709090909090909,1,60
"epiENGAGE-ensemble_mean",1,0.189437067370936,0.347466341188075,0.72,0.98,60
"epiENGAGE-ensemble_mean",2,0.211647063105206,0.410474899823876,0.622222222222222,0.911111111111111,60
"epiENGAGE-ensemble_mean",3,0.29018864437276,0.447932107948538,0.6,0.825,40
"epiENGAGE-ensemble_mean",4,0.198583938452222,0.28285523,0.92,1,30
"epiENGAGE-lop_norm",-1,0.113406556680523,0.190561809494193,0.633333333333333,1,60
"epiENGAGE-lop_norm",0,0.161177347058591,0.26421519683156,0.618181818181818,1,60
"epiENGAGE-lop_norm",1,0.194747552332723,0.345920067692186,0.64,1,60
"epiENGAGE-lop_norm",2,0.215313026107578,0.414531812520324,0.555555555555556,1,60
"epiENGAGE-lop_norm",3,0.298402374044661,0.472021546144696,0.525,0.825,40
"epiENGAGE-lop_norm",4,0.203216322632297,0.249068042122361,0.92,1,30
"epiforecasts-dyngam",0,0.1751373745125,0.298809158333333,0.733333333333333,1,70
"epiforecasts-dyngam",1,0.194124050439646,0.363290863636364,0.727272727272727,1,70
"epiforecasts-dyngam",2,0.2103497887575,0.39513025,0.7,1,70
"epiforecasts-dyngam",3,0.223498803377469,0.411847533333333,0.622222222222222,1,70
"epiforecasts-dyngam",-1,0.118862780117361,0.181653458333333,0.833333333333333,1,65
"epiforecasts-dyngam",4,0.181358720848413,0.287048157142857,0.628571428571429,1,65
