"model_id","location","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat","San Antonio",0.270907637467109,0.507476264624022,0.863636363636364,1,60
"epiENGAGE-Copycat","Dallas",0.279258697927874,0.518672738199837,0.840909090909091,1,60
"epiENGAGE-Copycat","El Paso",0.301751407323268,0.545289823912524,0.795454545454545,1,60
"epiENGAGE-Copycat","Houston",0.247950115108057,0.23660754210842,1,1,60
"epiENGAGE-Copycat","Austin",0.253314890391107,0.406171848075129,0.909090909090909,1,60
"epiENGAGE-GBQR","San Antonio",0.357751481594783,0.555252064496963,0.22,0.74,65
"epiENGAGE-GBQR","Dallas",0.40868224228663,0.594804141212291,0.24,0.74,65
"epiENGAGE-GBQR","El Paso",0.321714847627164,0.535236995045956,0.12,0.74,65
"epiENGAGE-GBQR","Houston",0.193922515445131,0.377424397243669,0.16,0.88,65
"epiENGAGE-GBQR","Austin",0.381686964229039,0.631715750520384,0.06,0.68,65
"epiENGAGE-INFLAenza","Austin",0.258711762894234,0.546041120750817,0.571428571428571,1,52
"epiENGAGE-INFLAenza","Dallas",0.295835413815781,0.676221235179218,0.452380952380952,1,52
"epiENGAGE-INFLAenza","El Paso",0.215222007986569,0.39112597546852,0.714285714285714,1,52
"epiENGAGE-INFLAenza","Houston",0.163241109658722,0.216109740025656,0.976190476190476,1,52
"epiENGAGE-INFLAenza","San Antonio",0.274854795663381,0.636624544571092,0.333333333333333,1,52
"epiENGAGE-baseline","Austin",0.991767493754438,1.59861538461538,0.338461538461538,0.846153846153846,75
"epiENGAGE-baseline","Dallas",1.07917945751307,1.822,0.338461538461538,0.830769230769231,75
"epiENGAGE-baseline","El Paso",0.486019185317796,1.02753846153846,0.4,1,75
"epiENGAGE-baseline","Houston",0.457415330201997,0.986615384615385,0.353846153846154,0.953846153846154,75
"epiENGAGE-baseline","San Antonio",1.07528264805404,1.798,0.415384615384615,0.830769230769231,75
"epiENGAGE-ensemble_mean","Austin",0.209633158679237,0.356589400927288,0.673469387755102,0.938775510204082,62
"epiENGAGE-ensemble_mean","Dallas",0.226966619248349,0.39445705978988,0.653061224489796,0.897959183673469,62
"epiENGAGE-ensemble_mean","El Paso",0.198836473348195,0.389678112086493,0.551020408163265,1,62
"epiENGAGE-ensemble_mean","Houston",0.153340018824698,0.234222867749092,0.836734693877551,0.979591836734694,62
"epiENGAGE-ensemble_mean","San Antonio",0.19906832336585,0.358528575125908,0.612244897959184,0.938775510204082,62
"epiENGAGE-lop_norm","Austin",0.216176408502194,0.382368537069021,0.530612244897959,0.959183673469388,62
"epiENGAGE-lop_norm","Dallas",0.226786587001925,0.382335068021521,0.551020408163265,0.959183673469388,62
"epiENGAGE-lop_norm","El Paso",0.209873199831078,0.394684819212803,0.469387755102041,1,62
"epiENGAGE-lop_norm","Houston",0.157601306613099,0.221201882039661,0.816326530612245,0.979591836734694,62
"epiENGAGE-lop_norm","San Antonio",0.200776139577875,0.341353735811128,0.612244897959184,0.959183673469388,62
"epiforecasts-dyngam","Austin",0.205363623414394,0.412921036363636,0.581818181818182,1,76
"epiforecasts-dyngam","Dallas",0.208599164787879,0.402941490909091,0.527272727272727,1,76
"epiforecasts-dyngam","El Paso",0.227828427550505,0.368043418181818,0.781818181818182,1,76
"epiforecasts-dyngam","Houston",0.138665037810606,0.195973136363636,0.909090909090909,1,76
"epiforecasts-dyngam","San Antonio",0.181331617811869,0.335708227272727,0.690909090909091,1,76
