"model_id","reference_date","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat",2025-03-08,0.407733333333333,0.582,0.84,1,25
"epiENGAGE-Copycat",2025-03-01,0.467022222222222,0.7944,0.84,1,25
"epiENGAGE-Copycat",2025-03-15,0.387333333333333,0.6232,0.88,1,25
"epiENGAGE-Copycat",2025-03-22,0.310844444444444,0.446,0.92,1,25
"epiENGAGE-Copycat",2025-03-29,0.266133333333333,0.428,0.92,1,25
"epiENGAGE-Copycat",2025-04-05,0.236622222222222,0.5224,0.92,1,25
"epiENGAGE-Copycat",2025-04-12,0.217722222222222,0.367,1,1,25
"epiENGAGE-Copycat",2025-04-19,0.0690431793844776,0.111057036155608,0.7,1,25
"epiENGAGE-Copycat",2025-04-26,0.0668141116281302,0.103201887970075,0.866666666666667,1,25
"epiENGAGE-Copycat",2025-05-10,0.0566693799404826,0.0814458392442689,1,1,25
"epiENGAGE-Copycat",2025-05-03,0.0626952093085647,0.100920330559238,0.9,1,25
"epiENGAGE-GBQR",2025-02-22,1.39711610286443,2.23272128691944,0,0.44,25
"epiENGAGE-GBQR",2025-03-01,0.47965867990418,0.762898488447781,0.24,0.72,25
"epiENGAGE-GBQR",2025-03-08,0.407932877261125,0.560842561385428,0.08,0.48,25
"epiENGAGE-GBQR",2025-03-15,0.460836044073076,0.67570769335496,0,0.32,25
"epiENGAGE-GBQR",2025-03-22,0.153855149603538,0.360309210867799,0.08,1,25
"epiENGAGE-GBQR",2025-03-29,0.132534612253327,0.24730565545353,0.12,0.92,25
"epiENGAGE-GBQR",2025-04-12,0.0776153634504836,0.138992684383591,0.2,0.88,25
"epiENGAGE-GBQR",2025-04-05,0.116007193541125,0.19163901184682,0.28,0.88,25
"epiENGAGE-GBQR",2025-04-19,0.0519467697090013,0.115324765723873,0.3,0.9,25
"epiENGAGE-GBQR",2025-04-26,0.0583085425054317,0.126099621738294,0.4,1,25
"epiENGAGE-GBQR",2025-05-10,0.025630545671031,0.043962693746118,0.4,1,25
"epiENGAGE-GBQR",2025-05-03,0.0507285725238591,0.104344950019706,0.1,1,25
"epiENGAGE-INFLAenza",2025-02-22,0.826235084743059,1.88133548915335,0.35,1,20
"epiENGAGE-INFLAenza",2025-03-01,0.340058127945643,0.589943845766269,0.8,1,20
"epiENGAGE-INFLAenza",2025-03-15,0.300232582767961,0.668124061790656,0.4,1,20
"epiENGAGE-INFLAenza",2025-03-22,0.204987417422764,0.43190808737341,0.45,1,20
"epiENGAGE-INFLAenza",2025-03-29,0.155976173234522,0.337064604656165,0.45,1,20
"epiENGAGE-INFLAenza",2025-03-08,0.281548010464864,0.513660480016352,0.7,1,20
"epiENGAGE-INFLAenza",2025-04-05,0.121017419934588,0.233578945040322,0.65,1,20
"epiENGAGE-INFLAenza",2025-04-12,0.108055629869152,0.209344327920748,0.65,1,20
"epiENGAGE-INFLAenza",2025-04-19,0.0915460062561395,0.159673718642994,0.7,1,20
"epiENGAGE-INFLAenza",2025-04-26,0.0765054551375218,0.105036168880186,0.8,1,20
"epiENGAGE-INFLAenza",2025-05-03,0.0711884203382515,0.114575862500863,0.8,1,20
"epiENGAGE-INFLAenza",2025-05-10,0.0555477395131418,0.072635501277182,1,1,20
"epiENGAGE-baseline",2025-02-01,1.54532335285285,2.37,0.32,0.6,25
"epiENGAGE-baseline",2025-02-08,2.66884974174174,3.72,0.2,0.52,25
"epiENGAGE-baseline",2025-02-22,0.705879993549105,1.6032,0.24,1,25
"epiENGAGE-baseline",2025-02-15,2.08869000856412,3.2112,0.2,0.48,25
"epiENGAGE-baseline",2025-03-01,0.603541054220888,1.4052,0.28,1,25
"epiENGAGE-baseline",2025-03-08,0.605090764653542,1.4636,0.2,1,25
"epiENGAGE-baseline",2025-03-15,0.83779766399733,1.9456,0,1,25
"epiENGAGE-baseline",2025-03-22,0.47073601907463,1.1708,0.04,1,25
"epiENGAGE-baseline",2025-04-05,0.232249929429429,0.3816,0.88,1,25
"epiENGAGE-baseline",2025-04-12,0.216926631687243,0.3316,0.76,1,25
"epiENGAGE-baseline",2025-04-19,0.18486587962963,0.255,0.85,1,25
"epiENGAGE-baseline",2025-03-29,0.333485131464798,0.732,0.28,1,25
"epiENGAGE-baseline",2025-04-26,0.158447643013384,0.22,0.733333333333333,1,25
"epiENGAGE-baseline",2025-05-03,0.158011961266822,0.279,0.6,1,25
"epiENGAGE-baseline",2025-05-10,0.0919516666666667,0.114,0.2,1,25
"epiENGAGE-ensemble_mean",2025-03-01,0.328135957287981,0.607647714602323,0.666666666666667,1,30
"epiENGAGE-ensemble_mean",2025-03-15,0.371740944259248,0.674090149709157,0.08,0.72,25
"epiENGAGE-ensemble_mean",2025-03-22,0.189873659394036,0.353260606895511,0.766666666666667,1,30
"epiENGAGE-ensemble_mean",2025-03-29,0.172511840103741,0.320518063950937,0.766666666666667,1,30
"epiENGAGE-ensemble_mean",2025-04-05,0.117628755765338,0.204479259798864,0.8,1,30
"epiENGAGE-ensemble_mean",2025-03-08,0.325808317376353,0.557096266253573,0.28,0.8,25
"epiENGAGE-ensemble_mean",2025-04-12,0.121480654522079,0.155254295091567,0.88,1,30
"epiENGAGE-ensemble_mean",2025-04-19,0.0895988672453124,0.129934632413361,0.9,1,30
"epiENGAGE-ensemble_mean",2025-05-10,0.0547686942969832,0.079965075433651,1,1,20
"epiENGAGE-ensemble_mean",2025-05-03,0.076192477865244,0.138462561369513,0.6,1,20
"epiENGAGE-ensemble_mean",2025-04-26,0.0570923469554439,0.0879329330224844,0.866666666666667,1,20
"epiENGAGE-lop_norm",2025-03-01,0.344179341788654,0.683395582258158,0.633333333333333,1,30
"epiENGAGE-lop_norm",2025-03-08,0.328969643529828,0.557019231925929,0.2,0.88,25
"epiENGAGE-lop_norm",2025-03-22,0.19835534691016,0.348117365675001,0.566666666666667,1,30
"epiENGAGE-lop_norm",2025-03-29,0.180557107703826,0.283561888668367,0.7,1,30
"epiENGAGE-lop_norm",2025-04-05,0.125076370183565,0.180138719627072,0.766666666666667,1,30
"epiENGAGE-lop_norm",2025-03-15,0.367050246862275,0.681062294559441,0.08,0.84,25
"epiENGAGE-lop_norm",2025-04-12,0.123708273469928,0.141825696416929,0.88,1,30
"epiENGAGE-lop_norm",2025-05-03,0.071904019656981,0.111850559529925,0.5,1,20
"epiENGAGE-lop_norm",2025-04-19,0.0862055344454631,0.102242792104501,0.85,1,30
"epiENGAGE-lop_norm",2025-04-26,0.0604377234240545,0.0993573589101573,0.733333333333333,1,20
"epiENGAGE-lop_norm",2025-05-10,0.0523005207611081,0.0734897970191128,0.8,1,20
"epiforecasts-dyngam",2025-02-22,0.535031376652778,1.09098825,0.4,1,20
"epiforecasts-dyngam",2025-03-01,0.290297399953704,0.4379285,0.766666666666667,1,30
"epiforecasts-dyngam",2025-03-08,0.240191440685185,0.394274283333333,0.666666666666667,1,30
"epiforecasts-dyngam",2025-03-15,0.252458900615741,0.513932683333333,0.433333333333333,1,30
"epiforecasts-dyngam",2025-03-22,0.178009823060185,0.326600116666667,0.6,1,30
"epiforecasts-dyngam",2025-03-29,0.139378613841204,0.259294683333333,0.566666666666667,1,30
"epiforecasts-dyngam",2025-04-05,0.105073970737037,0.174537616666667,0.833333333333333,1,30
"epiforecasts-dyngam",2025-04-19,0.0812550954715278,0.117068,0.9,1,30
"epiforecasts-dyngam",2025-04-12,0.0916855465144445,0.14174576,0.84,1,30
"epiforecasts-dyngam",2025-04-26,0.0753479897935185,0.1109191,1,1,30
"epiforecasts-dyngam",2025-05-10,0.0590859037638889,0.1097988,1,1,30
"epiforecasts-dyngam",2025-05-03,0.0692510987777778,0.1242716,0.9,1,30
