"model_id","target_end_date","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat",2025-03-08,0.497666666666667,0.892,0.9,1,10
"epiENGAGE-Copycat",2025-03-15,0.460666666666667,0.746,1,1,15
"epiENGAGE-Copycat",2025-03-22,0.412333333333333,0.813,0.6,1,20
"epiENGAGE-Copycat",2025-03-29,0.3636,0.4668,0.84,1,25
"epiENGAGE-Copycat",2025-04-05,0.299422222222222,0.3608,1,1,25
"epiENGAGE-Copycat",2025-03-01,0.469111111111111,0.462,1,1,5
"epiENGAGE-Copycat",2025-04-12,0.23930879920451,0.395860082742247,0.9,1,30
"epiENGAGE-Copycat",2025-04-19,0.193208152043305,0.39553367590401,0.866666666666667,1,30
"epiENGAGE-Copycat",2025-04-26,0.139889858667209,0.279593783320452,0.866666666666667,1,30
"epiENGAGE-Copycat",2025-05-03,0.110446405989036,0.197532509515858,0.933333333333333,1,30
"epiENGAGE-GBQR",2025-02-15,0.604118123478039,1.26430309485937,0,1,5
"epiENGAGE-GBQR",2025-02-22,0.674626049627949,1.05175910646491,0.3,0.7,10
"epiENGAGE-GBQR",2025-03-01,0.475254645864596,0.890360464482748,0.2,0.933333333333333,15
"epiENGAGE-GBQR",2025-03-08,0.706310456695371,1.18419027343951,0.05,0.65,20
"epiENGAGE-GBQR",2025-03-15,0.764996414906676,1.14059390864832,0.04,0.4,25
"epiENGAGE-GBQR",2025-03-22,0.459985488754694,0.640368662127042,0.12,0.48,25
"epiENGAGE-GBQR",2025-03-29,0.282371577036621,0.416523653620332,0.08,0.68,25
"epiENGAGE-GBQR",2025-04-05,0.236253262280087,0.366666792898785,0.16,0.68,25
"epiENGAGE-GBQR",2025-04-12,0.149577294403233,0.274801504540363,0.12,0.84,25
"epiENGAGE-GBQR",2025-04-19,0.0827777555139287,0.152257173879343,0.32,1,25
"epiENGAGE-GBQR",2025-04-26,0.0511026561678132,0.117689801880585,0.24,0.96,25
"epiENGAGE-GBQR",2025-05-03,0.0595764558805995,0.124832440444661,0.24,0.96,25
"epiENGAGE-INFLAenza",2025-02-15,0.955090904008511,2.19149469248467,0.2,1,5
"epiENGAGE-INFLAenza",2025-02-22,0.575713065035534,1.24090588979556,0.7,1,10
"epiENGAGE-INFLAenza",2025-03-01,0.428243874427688,0.775222967425346,0.8,1,15
"epiENGAGE-INFLAenza",2025-03-08,0.408981432219889,0.842178179827328,0.65,1,20
"epiENGAGE-INFLAenza",2025-03-15,0.290935164511336,0.590677950828461,0.5,1,20
"epiENGAGE-INFLAenza",2025-03-22,0.261575497636172,0.600495375975559,0.4,1,20
"epiENGAGE-INFLAenza",2025-03-29,0.187081450712258,0.375361098294164,0.55,1,20
"epiENGAGE-INFLAenza",2025-04-05,0.148489047120727,0.30678874622471,0.5,1,20
"epiENGAGE-INFLAenza",2025-04-12,0.134809631232416,0.290227913447989,0.5,1,20
"epiENGAGE-INFLAenza",2025-04-19,0.0974584431030233,0.166750990750543,0.75,1,20
"epiENGAGE-INFLAenza",2025-04-26,0.0826242556136917,0.125171510006482,0.8,1,20
"epiENGAGE-INFLAenza",2025-05-03,0.0767496025490693,0.131461884646943,0.75,1,20
"epiENGAGE-baseline",2025-01-25,0.0880581487042594,0.016,1,1,5
"epiENGAGE-baseline",2025-02-01,0.327068443999555,0.532,0.6,0.9,10
"epiENGAGE-baseline",2025-02-08,0.671162128888147,1.13466666666667,0.466666666666667,0.733333333333333,15
"epiENGAGE-baseline",2025-02-15,2.04267066566567,2.9405,0.25,0.5,20
"epiENGAGE-baseline",2025-02-22,2.10367899282616,3.1012,0.2,0.6,25
"epiENGAGE-baseline",2025-03-01,1.62431318841063,2.4712,0.32,0.76,25
"epiENGAGE-baseline",2025-03-08,1.23133356895785,2.2976,0,0.84,25
"epiENGAGE-baseline",2025-03-15,0.789797850072294,1.8552,0,1,25
"epiENGAGE-baseline",2025-03-22,0.735700782560338,1.7608,0,1,25
"epiENGAGE-baseline",2025-03-29,0.56666427071516,1.3548,0.16,1,25
"epiENGAGE-baseline",2025-04-05,0.440567039761984,1.0224,0.28,1,25
"epiENGAGE-baseline",2025-04-12,0.297150777277277,0.6396,0.52,1,25
"epiENGAGE-baseline",2025-04-19,0.230172533700367,0.3752,0.8,1,25
"epiENGAGE-baseline",2025-04-26,0.217439632577021,0.336,0.84,1,25
"epiENGAGE-baseline",2025-05-03,0.2110352445223,0.342,0.76,1,25
"epiENGAGE-ensemble_mean",2025-02-22,0.208294841643168,0.231130837482364,1,1,5
"epiENGAGE-ensemble_mean",2025-03-01,0.225370178980625,0.31100074447019,0.9,1,10
"epiENGAGE-ensemble_mean",2025-03-08,0.267691137027125,0.588668087676477,0.466666666666667,1,15
"epiENGAGE-ensemble_mean",2025-03-15,0.27224295298682,0.586093378507456,0.35,1,20
"epiENGAGE-ensemble_mean",2025-03-22,0.309312487741069,0.633074599299312,0.2,0.88,25
"epiENGAGE-ensemble_mean",2025-03-29,0.283167508616648,0.44437354040973,0.5,0.833333333333333,30
"epiENGAGE-ensemble_mean",2025-04-05,0.232887072329521,0.376211442174105,0.56,0.84,25
"epiENGAGE-ensemble_mean",2025-04-12,0.14549668022411,0.292064289522994,0.76,1,25
"epiENGAGE-ensemble_mean",2025-04-19,0.130721768659727,0.194774902397216,0.966666666666667,1,30
"epiENGAGE-ensemble_mean",2025-04-26,0.100596821676686,0.129145403140302,0.866666666666667,1,30
"epiENGAGE-ensemble_mean",2025-05-03,0.100733133024181,0.151340019917223,0.9,1,30
"epiENGAGE-lop_norm",2025-02-22,0.213854335987078,0.186840099965254,1,1,5
"epiENGAGE-lop_norm",2025-03-01,0.236179846213749,0.314404495739953,0.8,1,10
"epiENGAGE-lop_norm",2025-03-08,0.27736396167286,0.62073211823431,0.333333333333333,1,15
"epiENGAGE-lop_norm",2025-03-15,0.283512377181152,0.613361352742745,0.3,1,20
"epiENGAGE-lop_norm",2025-03-22,0.308735731437873,0.668170140093502,0.16,1,25
"epiENGAGE-lop_norm",2025-03-29,0.286093974919684,0.44795841262777,0.433333333333333,0.9,30
"epiENGAGE-lop_norm",2025-04-05,0.239275184522047,0.362730474522465,0.48,0.84,25
"epiENGAGE-lop_norm",2025-04-12,0.152579192492002,0.283933780534392,0.64,1,25
"epiENGAGE-lop_norm",2025-04-19,0.13487828272672,0.172169322291183,0.966666666666667,1,30
"epiENGAGE-lop_norm",2025-04-26,0.104268146486417,0.117410811448168,0.833333333333333,1,30
"epiENGAGE-lop_norm",2025-05-03,0.100524216290362,0.124059583672822,0.766666666666667,1,30
"epiforecasts-dyngam",2025-02-22,0.382764651666667,0.640603,0.7,1,10
"epiforecasts-dyngam",2025-03-01,0.334032460185185,0.551757666666667,0.666666666666667,1,15
"epiforecasts-dyngam",2025-03-08,0.323552758027778,0.546615,0.8,1,20
"epiforecasts-dyngam",2025-03-15,0.304652829877778,0.586144,0.6,1,25
"epiforecasts-dyngam",2025-03-22,0.241678120116667,0.5201008,0.32,1,25
"epiforecasts-dyngam",2025-03-29,0.19735027812037,0.365883133333333,0.666666666666667,1,30
"epiforecasts-dyngam",2025-04-05,0.170649143601852,0.298696633333333,0.6,1,30
"epiforecasts-dyngam",2025-04-12,0.142480584296296,0.268832183333333,0.633333333333333,1,30
"epiforecasts-dyngam",2025-04-19,0.106323954144444,0.153359283333333,0.9,1,30
"epiforecasts-dyngam",2025-04-26,0.0916925081152778,0.1253373,0.833333333333333,1,30
"epiforecasts-dyngam",2025-05-03,0.0891992182476852,0.157441033333333,0.9,1,30
