"model_id","horizon","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat",-1,0.0598809975742273,0.0923444135100186,0.9,1,25
"epiENGAGE-Copycat",0,0.062328796263937,0.090136539600886,0.866666666666667,1,25
"epiENGAGE-Copycat",1,0.0672895514244296,0.106036567610645,0.9,1,25
"epiENGAGE-Copycat",2,0.0619259253322418,0.0804781428707953,0.8,1,25
"epiENGAGE-GBQR",-1,0.04809701315814,0.090368953992177,0.35,0.95,25
"epiENGAGE-GBQR",0,0.0506626151651246,0.0990471262009893,0.4,1,25
"epiENGAGE-GBQR",1,0.058669523061837,0.13748410300281,0.2,1,25
"epiENGAGE-GBQR",2,0.057360307476433,0.132439079117495,0.6,1,25
"epiENGAGE-INFLAenza",-1,0.062532699255563,0.0836163717348544,0.85,1,25
"epiENGAGE-INFLAenza",0,0.0718525989348613,0.115896303371128,0.866666666666667,1,25
"epiENGAGE-INFLAenza",1,0.079754586893584,0.12666606547708,0.7,1,25
"epiENGAGE-INFLAenza",2,0.0829849407879178,0.145804927220494,1,1,25
"epiENGAGE-baseline",-1,0.100386164775887,0.1315,0.45,1,25
"epiENGAGE-baseline",0,0.159377709005302,0.204666666666667,0.866666666666667,1,25
"epiENGAGE-baseline",1,0.209107859943277,0.289,0.9,1,25
"epiENGAGE-baseline",2,0.225647006172839,0.248,1,1,25
"epiENGAGE-ensemble_mean",-1,0.0559083114221182,0.0847576837069799,0.8,1,25
"epiENGAGE-ensemble_mean",0,0.0688561629748635,0.10298209236692,0.8,1,25
"epiENGAGE-ensemble_mean",1,0.0767611931146588,0.118154103101846,0.9,1,25
"epiENGAGE-ensemble_mean",2,0.0543011762851716,0.0695156576864886,0.8,1,25
"epiENGAGE-lop_norm",-1,0.0566179947960723,0.0878619579721404,0.8,1,25
"epiENGAGE-lop_norm",0,0.0666482283703209,0.0914186569782264,0.733333333333333,1,25
"epiENGAGE-lop_norm",1,0.0757710992765147,0.111358007270289,0.8,1,25
"epiENGAGE-lop_norm",2,0.0614383182599564,0.0907156590113082,0.8,1,25
"epiforecasts-dyngam",-1,0.05828701408125,0.08014605,0.9,1,25
"epiforecasts-dyngam",0,0.0707565372722222,0.110042366666667,1,1,25
"epiforecasts-dyngam",1,0.0824795921958333,0.1332663,1,1,25
"epiforecasts-dyngam",2,0.0865961183805556,0.1077974,1,1,25
