"model_id","location","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat","San Antonio",0.0587713826330575,0.0888955643456968,0.9,1,25
"epiENGAGE-Copycat","Dallas",0.0529604931048666,0.0351600480792844,1,1,25
"epiENGAGE-Copycat","El Paso",0.0920395255557126,0.209275225215104,0.5,1,25
"epiENGAGE-Copycat","Houston",0.0623138398087826,0.0730731852770484,1,1,25
"epiENGAGE-Copycat","Austin",0.0632521843875372,0.112156131530567,0.7,1,25
"epiENGAGE-GBQR","San Antonio",0.0405788509377525,0.0689665827705786,0.4,0.9,25
"epiENGAGE-GBQR","Dallas",0.018350346985249,0.0296164506501785,0.5,1,25
"epiENGAGE-GBQR","El Paso",0.127744000322419,0.310341475325045,0.3,1,25
"epiENGAGE-GBQR","Houston",0.0311985029641317,0.0643372477812165,0.2,1,25
"epiENGAGE-GBQR","Austin",0.0370284973259722,0.0728635044209328,0.1,0.9,25
"epiENGAGE-INFLAenza","Austin",0.063139795772669,0.080924959258525,1,1,20
"epiENGAGE-INFLAenza","Dallas",0.0655910978237945,0.121946557588601,0.8,1,20
"epiENGAGE-INFLAenza","El Paso",0.115961015996461,0.179731131316876,0.8,1,20
"epiENGAGE-INFLAenza","Houston",0.0778643048652547,0.0912993914911461,1,1,20
"epiENGAGE-INFLAenza","San Antonio",0.0742562708552053,0.153893264090574,0.3,1,20
"epiENGAGE-baseline","Austin",0.125577419085752,0.132,0.9,1,20
"epiENGAGE-baseline","Dallas",0.157772090979869,0.182,0.7,1,20
"epiENGAGE-baseline","El Paso",0.224805978061395,0.427,0.3,1,20
"epiENGAGE-baseline","Houston",0.146251261678345,0.241,0.7,1,20
"epiENGAGE-baseline","San Antonio",0.15698426857413,0.194,0.9,1,20
"epiENGAGE-ensemble_mean","Austin",0.0579566353529627,0.0715910536392103,1,1,22
"epiENGAGE-ensemble_mean","Dallas",0.0588738511397498,0.0625430081342609,1,1,22
"epiENGAGE-ensemble_mean","El Paso",0.1163674947481,0.22475627540072,0.5,1,22
"epiENGAGE-ensemble_mean","Houston",0.068493593137004,0.104013025563592,0.9,1,22
"epiENGAGE-ensemble_mean","San Antonio",0.0667215055597094,0.107310400709004,0.8,1,22
"epiENGAGE-lop_norm","Austin",0.0580575421374523,0.0677046367735548,0.7,1,22
"epiENGAGE-lop_norm","Dallas",0.0554210130801002,0.0383033804944585,0.9,1,22
"epiENGAGE-lop_norm","El Paso",0.117843633801632,0.235858641442457,0.5,1,22
"epiENGAGE-lop_norm","Houston",0.0659733777281101,0.0762395518056014,0.9,1,22
"epiENGAGE-lop_norm","San Antonio",0.0638263673172485,0.0840108700976478,0.7,1,22
"epiforecasts-dyngam","Austin",0.0566759889458333,0.06668775,1,1,30
"epiforecasts-dyngam","Dallas",0.0532672381847222,0.0738432,1,1,30
"epiforecasts-dyngam","El Paso",0.137709249319444,0.2303375,1,1,30
"epiforecasts-dyngam","Houston",0.0699740445972222,0.10632145,1,1,30
"epiforecasts-dyngam","San Antonio",0.0566997052458333,0.10249575,0.7,1,30
