"model_id","target_end_date","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat",2025-04-12,0.0780750174492802,0.16516049645348,0.4,1,5
"epiENGAGE-Copycat",2025-04-19,0.0630689005743605,0.0966010277120302,0.8,1,10
"epiENGAGE-Copycat",2025-04-26,0.0628167543714549,0.0845208999742377,0.866666666666667,1,15
"epiENGAGE-Copycat",2025-05-03,0.0665029423168868,0.106298764273787,0.9,1,20
"epiENGAGE-GBQR",2025-04-19,0.0407798205407144,0.0768395410815552,0.5,1,10
"epiENGAGE-GBQR",2025-04-26,0.0472093133821916,0.113120182202558,0.2,0.933333333333333,15
"epiENGAGE-GBQR",2025-05-03,0.0577825240200817,0.119748281632188,0.25,1,20
"epiENGAGE-GBQR",2025-04-12,0.0554827197627189,0.120217766596368,0.4,0.8,5
"epiENGAGE-INFLAenza",2025-04-12,0.0983517142481418,0.186217811711879,0.6,1,5
"epiENGAGE-INFLAenza",2025-04-19,0.0786832994082341,0.1143169789467,0.9,1,10
"epiENGAGE-INFLAenza",2025-04-26,0.076969415788627,0.104963766432797,0.8,1,15
"epiENGAGE-INFLAenza",2025-05-03,0.0767496025490693,0.131461884646943,0.75,1,20
"epiENGAGE-baseline",2025-04-12,0.113291506506507,0.16,0.4,1,5
"epiENGAGE-baseline",2025-04-19,0.125466288649761,0.13,0.8,1,10
"epiENGAGE-baseline",2025-04-26,0.168896372390909,0.246,0.733333333333333,1,15
"epiENGAGE-baseline",2025-05-03,0.187967208945056,0.2985,0.7,1,20
"epiENGAGE-ensemble_mean",2025-04-19,0.0633521951760238,0.0687801605886245,1,1,10
"epiENGAGE-ensemble_mean",2025-04-26,0.0705183630296668,0.0970237302269146,0.8,1,15
"epiENGAGE-ensemble_mean",2025-05-03,0.0800433482068775,0.142721351701913,0.85,1,20
"epiENGAGE-ensemble_mean",2025-04-12,0.0783932876064944,0.140910608227929,0.6,1,5
"epiENGAGE-lop_norm",2025-04-12,0.0759771081856968,0.136107125441286,0.6,1,5
"epiENGAGE-lop_norm",2025-04-19,0.064769438806425,0.0715241359844311,1,1,10
"epiENGAGE-lop_norm",2025-04-26,0.0700531555865254,0.0858414299214492,0.733333333333333,1,15
"epiENGAGE-lop_norm",2025-05-03,0.0766421038927407,0.116888618513236,0.65,1,20
"epiforecasts-dyngam",2025-04-12,0.0738323793333333,0.1336797,0.8,1,5
"epiforecasts-dyngam",2025-04-19,0.0665202706944445,0.059274,1,1,10
"epiforecasts-dyngam",2025-04-26,0.0731432903703704,0.0939475,0.866666666666667,1,15
"epiforecasts-dyngam",2025-05-03,0.0805874151881944,0.156325275,1,1,20
