"model_id","target_end_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat",2025-02-15,0.466562558371759,104.636111111111,0.602727642666841,226,0.166666666666667,0.833333333333333,6
"epiENGAGE-Copycat",2025-02-22,0.522200521563167,131.577777777778,0.670518890297534,262.25,0,0.5,12
"epiENGAGE-Copycat",2025-03-01,0.330598838336376,94.5922839506173,0.414791303725408,205.888888888889,0.222222222222222,0.777777777777778,18
"epiENGAGE-Copycat",2025-03-08,0.280066657047472,63.9513888888889,0.286315509301086,150.375,0.375,0.916666666666667,24
"epiENGAGE-Copycat",2025-03-15,0.459012419310317,51.3794444444444,0.395473391420378,102.433333333333,0.533333333333333,1,30
"epiENGAGE-Copycat",2025-03-22,0.625821886714313,48.1253703703704,0.542879767820102,82,0.566666666666667,0.966666666666667,30
"epiENGAGE-Copycat",2025-03-29,0.464015975729359,36.9253703703704,0.282857785277101,50.5333333333333,0.633333333333333,1,30
"epiENGAGE-Copycat",2025-04-05,0.488143562346568,32.587962962963,0.302738024114345,42.3333333333333,0.766666666666667,1,30
"epiENGAGE-Copycat",2025-04-12,0.491487619569034,38.5511111111111,0.415548824503009,72.6333333333333,0.566666666666667,0.966666666666667,30
"epiENGAGE-Copycat",2025-04-19,0.453147836693294,37.7944444444444,0.459217455607527,89.9333333333333,0.2,1,30
"epiENGAGE-Copycat",2025-04-26,0.367076601077633,26.5903703703704,0.356792588861763,57.5333333333333,0.5,1,30
"epiENGAGE-Copycat",2025-05-03,0.360461612165362,24.2553703703704,0.353322147928879,50.6666666666667,0.366666666666667,0.866666666666667,30
"epiENGAGE-Copycat",2025-05-10,0.386890214548556,27.71,0.407009361046511,66.1,0.266666666666667,0.933333333333333,30
"epiENGAGE-Copycat",2025-05-17,0.593675122456234,30.025,0.8384808221871,57.6333333333333,0.466666666666667,0.833333333333333,30
"epiENGAGE-GBQR",2025-01-25,1.67825695076326,57.2032604604525,2.32958675713861,133.95123853547,0.666666666666667,1,6
"epiENGAGE-GBQR",2025-02-01,0.763847910897339,89.2773403485781,1.02133728448048,247.759402926889,0.166666666666667,1,12
"epiENGAGE-GBQR",2025-02-08,0.513756545000842,92.6580074436513,0.56966988150547,211.094339424527,0,1,18
"epiENGAGE-GBQR",2025-02-15,0.302354705782937,110.582909839181,0.334270024384325,212.071249492708,0.0555555555555556,0.888888888888889,18
"epiENGAGE-GBQR",2025-02-22,0.197644772810051,94.1284555072307,0.166313459707588,148.288278370135,0.3,0.8,30
"epiENGAGE-GBQR",2025-03-01,0.193323289299159,54.9396880550338,0.136249404983317,69.6255350798218,0.433333333333333,0.9,30
"epiENGAGE-GBQR",2025-03-08,0.207301755098766,42.9651223133144,0.176365163894527,71.8164556993432,0.433333333333333,0.9,30
"epiENGAGE-GBQR",2025-03-15,0.534158967702019,47.494632654358,0.5767965593523,102.979271082469,0.266666666666667,0.966666666666667,30
"epiENGAGE-GBQR",2025-03-22,0.58651617582838,44.2969690381264,0.699567802924017,102.729848564197,0.333333333333333,0.972222222222222,36
"epiENGAGE-GBQR",2025-03-29,0.362882364500137,28.9664433787769,0.339301987918072,62.3093511666599,0.266666666666667,0.966666666666667,30
"epiENGAGE-GBQR",2025-04-05,0.382524426466239,25.0825501382687,0.360083016681195,50.5169251166418,0.433333333333333,1,30
"epiENGAGE-GBQR",2025-04-12,0.544072142640605,41.9443485791967,0.368962747229955,64.5324008227242,0.333333333333333,0.9,30
"epiENGAGE-GBQR",2025-04-19,0.76711570362125,63.305678285399,0.465097974205733,90.3509997183838,0.0666666666666667,0.466666666666667,30
"epiENGAGE-GBQR",2025-04-26,0.762672444849211,56.0775614802474,0.49697631632613,79.6950600850523,0.233333333333333,0.566666666666667,30
"epiENGAGE-GBQR",2025-05-03,0.814372752267287,55.8422437489914,0.558301195319494,81.021163931216,0.133333333333333,0.566666666666667,30
"epiENGAGE-GBQR",2025-05-10,0.904283023845606,67.3474846490971,0.594660141677449,97.651288421,0.133333333333333,0.566666666666667,30
"epiENGAGE-GBQR",2025-05-17,0.517486680631327,26.2197765189424,0.777115921112383,53.5431667825646,0.333333333333333,0.766666666666667,30
"epiENGAGE-INFLAenza",2025-01-25,2.95522340300414,100.728564814815,3.31304347826087,190.5,0.5,1,6
"epiENGAGE-INFLAenza",2025-02-01,0.889578510383294,103.972534722222,0.64720027481965,157,0.833333333333333,1,12
"epiENGAGE-INFLAenza",2025-02-08,0.629451953792346,113.52412808642,0.575262368815592,213.166666666667,0.666666666666667,1,18
"epiENGAGE-INFLAenza",2025-02-15,0.4129967946673,134.13240162037,0.522775176980975,310.6875,0.416666666666667,1,24
"epiENGAGE-INFLAenza",2025-02-22,0.366979077190537,121.477818287037,0.501335993527327,291.666666666667,0.333333333333333,1,24
"epiENGAGE-INFLAenza",2025-03-01,0.357028743943158,87.817650462963,0.366964579744434,194.375,0.5,1,24
"epiENGAGE-INFLAenza",2025-03-08,0.354086303499589,65.201880787037,0.316624479521203,128.5625,0.583333333333333,1,24
"epiENGAGE-INFLAenza",2025-03-15,0.543289078665166,49.8389409722222,0.377127533268825,72.3958333333333,0.791666666666667,1,24
"epiENGAGE-INFLAenza",2025-03-22,0.667745580163838,45.861568287037,0.461271971835782,65.8541666666667,0.875,1,24
"epiENGAGE-INFLAenza",2025-03-29,0.550297763034906,40.3359259259259,0.228398608728933,41.0833333333333,0.958333333333333,1,24
"epiENGAGE-INFLAenza",2025-04-05,0.581146977927115,37.8491724537037,0.27431942477375,40.2083333333333,1,1,24
"epiENGAGE-INFLAenza",2025-04-12,0.45654555122396,37.104994212963,0.258606134179227,49.875,0.875,1,24
"epiENGAGE-INFLAenza",2025-04-19,0.450055162293407,34.4767708333333,0.244454458527118,44.4375,0.833333333333333,1,24
"epiENGAGE-INFLAenza",2025-04-26,0.549171902291023,29.9138483796296,0.190686064923314,21.6666666666667,0.833333333333333,1,24
"epiENGAGE-INFLAenza",2025-05-03,0.586496109239978,34.9465798611111,0.451726900700015,56.7291666666667,0.625,0.833333333333333,24
"epiENGAGE-INFLAenza",2025-05-10,0.558078116827406,32.7890625,0.456261677688871,60.8333333333333,0.625,1,24
"epiENGAGE-INFLAenza",2025-05-17,0.635440265075844,32.4901157407407,0.785147411586834,57.5833333333333,0.583333333333333,0.833333333333333,24
"epiENGAGE-baseline",2025-01-25,1,34.084923905387,1,57.5,0.5,1,6
"epiENGAGE-baseline",2025-02-01,1,116.878424454547,1,242.583333333333,0.166666666666667,1,12
"epiENGAGE-baseline",2025-02-08,1,180.353921220603,1,370.555555555556,0,0.888888888888889,18
"epiENGAGE-baseline",2025-02-15,1,335.073450331118,1,587.083333333333,0,0.666666666666667,24
"epiENGAGE-baseline",2025-02-22,1,450.811187710859,1,732.433333333333,0.0333333333333333,0.4,30
"epiENGAGE-baseline",2025-03-01,1,424.209343463835,1,695.633333333333,0.0333333333333333,0.5,30
"epiENGAGE-baseline",2025-03-08,1,321.093590256924,1,569.9,0,0.666666666666667,30
"epiENGAGE-baseline",2025-03-15,1,167.050728052126,1,341.733333333333,0.266666666666667,0.933333333333333,30
"epiENGAGE-baseline",2025-03-22,1,91.5476291337634,1,195.7,0.4,1,30
"epiENGAGE-baseline",2025-03-29,1,81.6015538964891,1,188.6,0.2,1,30
"epiENGAGE-baseline",2025-04-05,1,67.474755426723,1,145.833333333333,0.366666666666667,1,30
"epiENGAGE-baseline",2025-04-12,1,79.0809409733807,1,179.5,0.4,1,30
"epiENGAGE-baseline",2025-04-19,1,83.7361222796871,1,197.966666666667,0.133333333333333,1,30
"epiENGAGE-baseline",2025-04-26,1,71.8342010158307,1,159.333333333333,0.3,1,30
"epiENGAGE-baseline",2025-05-03,1,67.9161254865978,1,145.433333333333,0.333333333333333,1,30
"epiENGAGE-baseline",2025-05-10,1,72.0399280669558,1,163.566666666667,0.266666666666667,1,30
"epiENGAGE-baseline",2025-05-17,1,51.9172477037222,1,71.4333333333333,0.766666666666667,1,30
"epiENGAGE-ensemble_mean",2025-03-01,0.308411259612894,30.0573867376756,0.295331129516003,54.2550382867479,0.666666666666667,1,6
"epiENGAGE-ensemble_mean",2025-03-08,0.301167208710564,32.0613405195886,0.250975716344694,50.1186647111715,0.666666666666667,1,12
"epiENGAGE-ensemble_mean",2025-03-15,0.493281100276607,39.085900098979,0.461350743546886,79.4392574787772,0.5,1,18
"epiENGAGE-ensemble_mean",2025-03-22,0.546984025631161,37.5675197089989,0.547712602608888,78.1949895505042,0.708333333333333,1,24
"epiENGAGE-ensemble_mean",2025-03-29,0.395929613469788,31.4104666528848,0.222973213129529,39.6292198189593,0.733333333333333,1,30
"epiENGAGE-ensemble_mean",2025-04-05,0.424609205290587,27.7677274982972,0.317445144827385,44.6692840370908,0.833333333333333,1,30
"epiENGAGE-ensemble_mean",2025-04-12,0.444526669430672,34.3952752778058,0.403479412617523,70.4801348497175,0.5,1,30
"epiENGAGE-ensemble_mean",2025-04-19,0.507461195644004,42.070469172777,0.504492298746818,98.6238631926862,0.3,1,30
"epiENGAGE-ensemble_mean",2025-04-26,0.515563057635333,37.6099307002114,0.477034156360955,78.0057597393223,0.5,1,30
"epiENGAGE-ensemble_mean",2025-05-03,0.520503762502292,35.0431658031572,0.515212561065043,73.9802233953143,0.4,0.866666666666667,30
"epiENGAGE-ensemble_mean",2025-05-10,0.5509713543664,39.9342380810552,0.571535188235953,94.0077823275763,0.266666666666667,1,30
"epiENGAGE-ensemble_mean",2025-05-17,0.574401158412136,29.4341106677304,0.698530613492269,48.0023143331214,0.533333333333333,0.966666666666667,30
"epiENGAGE-lop_norm",2025-03-01,0.304941285790997,29.7192073039374,0.269852385642051,49.5743592582793,0.666666666666667,1,6
"epiENGAGE-lop_norm",2025-03-08,0.301867558503522,32.1358976179228,0.216499063990893,43.2338401359101,0.75,1,12
"epiENGAGE-lop_norm",2025-03-15,0.534127646779937,42.3224401470818,0.529202424566347,91.1225315045946,0.5,1,18
"epiENGAGE-lop_norm",2025-03-22,0.585479435841694,40.2114307082671,0.625460411303105,89.2947689958937,0.666666666666667,1,24
"epiENGAGE-lop_norm",2025-03-29,0.424603463798198,33.6822956343356,0.271040593301508,48.3033349817323,0.733333333333333,1,30
"epiENGAGE-lop_norm",2025-04-05,0.440399438418476,28.7747548706409,0.341418638964717,47.9570079786502,0.833333333333333,1,30
"epiENGAGE-lop_norm",2025-04-12,0.461615711619611,35.6902485550199,0.402931200957335,70.3858318485335,0.433333333333333,1,30
"epiENGAGE-lop_norm",2025-04-19,0.528966160794377,43.9070620371024,0.503220934571951,98.1418806822795,0.2,1,30
"epiENGAGE-lop_norm",2025-04-26,0.521483093931371,37.8938112423128,0.473080956988458,76.6594710238807,0.433333333333333,1,30
"epiENGAGE-lop_norm",2025-05-03,0.518254785236144,34.8596912605555,0.524073734562254,75.5186397571509,0.4,0.933333333333333,30
"epiENGAGE-lop_norm",2025-05-10,0.550697574938087,39.9118229305896,0.558334180446371,91.8968528942198,0.3,1,30
"epiENGAGE-lop_norm",2025-05-17,0.575626930257416,29.4713574606173,0.708688831961334,48.4646187359411,0.5,1,30
"epiforecasts-dyngam",2025-02-22,0.425187491782884,61.1022685185185,0.645254254604925,153.5,0.166666666666667,1,6
"epiforecasts-dyngam",2025-03-01,0.358267420310888,56.2998148148148,0.438063436945088,137.125,0.5,1,12
"epiforecasts-dyngam",2025-03-08,0.313648363904468,49.0590586419753,0.300216324381643,103.75,0.611111111111111,1,18
"epiforecasts-dyngam",2025-03-15,0.459447992492991,43.5101331018519,0.402337802189839,79.9375,0.708333333333333,1,24
"epiforecasts-dyngam",2025-03-22,0.550687714979324,43.5832731481482,0.514264607893986,77.4333333333333,0.733333333333333,1,30
"epiforecasts-dyngam",2025-03-29,0.433725089529985,34.480287037037,0.252742122618872,45.05,0.933333333333333,1,30
"epiforecasts-dyngam",2025-04-05,0.49744824861872,32.9814490740741,0.297235991033844,41.3666666666667,0.933333333333333,1,30
"epiforecasts-dyngam",2025-04-12,0.56763842540378,44.3048796296296,0.513671864049351,90.05,0.7,1,30
"epiforecasts-dyngam",2025-04-19,0.601193495052067,50.0622546296296,0.59406170619585,116.516666666667,0.3,1,30
"epiforecasts-dyngam",2025-04-26,0.535095122111186,38.5343101851852,0.503304061673045,80.4666666666667,0.633333333333333,1,30
"epiforecasts-dyngam",2025-05-03,0.499672061278173,33.8700046296296,0.490272975751814,70.8333333333333,0.633333333333333,0.9,30
"epiforecasts-dyngam",2025-05-10,0.483047473448201,34.8386990740741,0.481144227401947,78.6333333333333,0.5,1,30
"epiforecasts-dyngam",2025-05-17,0.605043126767307,30.8447037037037,0.821271485977629,56.0333333333333,0.566666666666667,0.966666666666667,30
