"model_id","location","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat","Bronx",0.681321320164337,19.9911111111111,1.0415512465374,37.6,0.6,0.9,25
"epiENGAGE-Copycat","Brooklyn",0.470020789578202,17.7911111111111,0.558951965065502,38.4,0.4,0.9,25
"epiENGAGE-Copycat","Manhattan",0.693276435795772,12.6022222222222,1.124,28.1,0.4,0.9,25
"epiENGAGE-Copycat","NYC",0.459642720668851,60.3694444444444,0.561164165529786,123.4,0.5,0.9,25
"epiENGAGE-Copycat","Queens",0.735888539012187,32.895,0.763872491145218,64.7,0.3,0.7,25
"epiENGAGE-Copycat","Staten Island",0.568556853072964,3.42222222222222,0.60655737704918,7.4,0.4,0.9,25
"epiENGAGE-GBQR","Bronx",0.602981937476789,17.6925021327441,0.927206433775279,33.4721522592876,0.6,0.9,25
"epiENGAGE-GBQR","Brooklyn",0.454129974917075,17.1896159101522,0.554487752921514,38.093308625708,0.5,1,25
"epiENGAGE-GBQR","Manhattan",0.638907498060632,11.6139159709966,1.14060655626396,28.5151639065989,0.2,0.9,25
"epiENGAGE-GBQR","NYC",0.507769557573324,66.6904200112143,0.622437232403943,136.873947405627,0.3,0.9,25
"epiENGAGE-GBQR","Queens",0.816518538042765,36.4992466725616,0.781271794231077,66.1737209713722,0.2,0.7,25
"epiENGAGE-GBQR","Staten Island",0.959505492476846,5.77539607684079,0.824461266116807,10.058427446625,0.1,0.6,25
"epiENGAGE-INFLAenza","Bronx",0.814370589750676,23.895,1.04293628808864,37.65,0.8,1,20
"epiENGAGE-INFLAenza","Brooklyn",0.656499013374962,24.8496388888889,0.58806404657933,40.4,0.8,1,20
"epiENGAGE-INFLAenza","Manhattan",0.803174076055701,14.5999166666667,1.16,29,0.8,1,20
"epiENGAGE-INFLAenza","NYC",0.578376284007945,75.9639027777778,0.540245566166439,118.8,0.8,1,20
"epiENGAGE-INFLAenza","Queens",0.739952573604694,33.0766666666667,0.758559622195986,64.25,0.5,1,20
"epiENGAGE-INFLAenza","Staten Island",1.80574025728735,10.869,1.76229508196721,21.5,0,0.4,20
"epiENGAGE-baseline","Bronx",1,29.3416784701368,1,36.1,0.8,1,25
"epiENGAGE-baseline","Brooklyn",1,37.8517535938716,1,68.7,0.5,1,25
"epiENGAGE-baseline","Manhattan",1,18.1777737876766,1,25,0.7,1,25
"epiENGAGE-baseline","NYC",1,131.339933669781,1,219.9,0.5,1,25
"epiENGAGE-baseline","Queens",1,44.7010630769659,1,84.7,0.4,1,25
"epiENGAGE-baseline","Staten Island",1,6.01913811033255,1,12.2,0.6,1,25
"epiENGAGE-ensemble_mean","Bronx",0.665017582524427,19.5127320834194,0.94558561751046,34.1356407921276,0.6,1,16
"epiENGAGE-ensemble_mean","Brooklyn",0.502826102101918,19.0328497173287,0.474008343523199,32.5643732000438,0.7,1,16
"epiENGAGE-ensemble_mean","Manhattan",0.6892526976661,12.5290796207202,1.10891665955194,27.7229164887986,0.5,1,16
"epiENGAGE-ensemble_mean","NYC",0.521470895569679,68.4899528348428,0.582290688853274,128.045722478835,0.6,1,16
"epiENGAGE-ensemble_mean","Queens",0.667644188624802,29.844404988687,0.75265998435287,63.7503006746881,0.3,1,16
"epiENGAGE-ensemble_mean","Staten Island",0.912164703732222,5.49044533113482,0.935860126297169,11.4174935408255,0.2,0.8,16
"epiENGAGE-lop_norm","Bronx",0.675037003754847,19.8067187196192,0.932275936638961,33.6551613126665,0.6,1,16
"epiENGAGE-lop_norm","Brooklyn",0.52343816656207,19.8130525023354,0.496422497867676,34.1042256035093,0.7,1,16
"epiENGAGE-lop_norm","Manhattan",0.70542770272308,12.8231052036605,1.12396789513448,28.0991973783621,0.4,1,16
"epiENGAGE-lop_norm","NYC",0.51705298902149,67.9097052818443,0.59302465774382,130.406122237866,0.5,1,16
"epiENGAGE-lop_norm","Queens",0.668155359422286,29.8672548667484,0.767284456488903,64.9889934646101,0.3,1,16
"epiENGAGE-lop_norm","Staten Island",0.884642332775135,5.32478437922031,0.866946785929871,10.5767507883444,0.3,0.9,16
"epiforecasts-dyngam","Bronx",0.742209774322226,21.7776805555556,1.05401662049861,38.05,0.6,1,25
"epiforecasts-dyngam","Brooklyn",0.612618395553275,23.1886805555556,0.516011644832606,35.45,0.8,1,25
"epiforecasts-dyngam","Manhattan",0.734953553746037,13.3598194444444,1.058,26.45,0.8,1,25
"epiforecasts-dyngam","NYC",0.473375004307404,62.1730416666667,0.608458390177353,133.8,0.5,0.9,25
"epiforecasts-dyngam","Queens",0.665882436096152,29.7656527777778,0.783353010625738,66.35,0.5,1,25
"epiforecasts-dyngam","Staten Island",0.61964390147814,3.72972222222222,0.663934426229508,8.1,0.6,1,25
