"model_id","target_end_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat",2025-04-19,0.527832017640468,17.9972222222222,0.561712846347607,37.1666666666667,0.5,1,6
"epiENGAGE-Copycat",2025-04-26,0.392347139404831,13.2981481481481,0.408888888888889,23,0.75,1,12
"epiENGAGE-Copycat",2025-05-03,0.416996450371476,19.7185185185185,0.454940957116221,40.6666666666667,0.388888888888889,0.888888888888889,18
"epiENGAGE-Copycat",2025-05-10,0.402161331530052,24.6546296296296,0.426229508196721,57.4166666666667,0.333333333333333,0.916666666666667,24
"epiENGAGE-GBQR",2025-04-19,0.63833398821684,21.7649522082631,0.559286056546687,37.0060940748391,0.333333333333333,0.666666666666667,6
"epiENGAGE-GBQR",2025-04-26,0.482163040975265,16.3423532542563,0.495078344314655,27.8481568676993,0.583333333333333,0.833333333333333,12
"epiENGAGE-GBQR",2025-05-03,0.586603560182091,27.7387329176907,0.585584039340516,52.3447066277161,0.222222222222222,0.722222222222222,18
"epiENGAGE-GBQR",2025-05-10,0.742822380218006,45.5389646617637,0.58177881524883,78.3704545708111,0.166666666666667,0.708333333333333,24
"epiENGAGE-INFLAenza",2025-04-19,0.743317259569698,25.3445138888889,0.445843828715365,29.5,0.833333333333333,1,6
"epiENGAGE-INFLAenza",2025-04-26,0.738477659831344,25.029837962963,0.293333333333333,16.5,0.833333333333333,1,12
"epiENGAGE-INFLAenza",2025-05-03,0.68153004214903,32.2275231481482,0.585456805469236,52.3333333333333,0.611111111111111,0.833333333333333,18
"epiENGAGE-INFLAenza",2025-05-10,0.535452695784469,32.826099537037,0.453448809155583,61.0833333333333,0.625,1,24
"epiENGAGE-baseline",2025-04-19,1,34.0964958940422,1,66.1666666666667,0.333333333333333,1,6
"epiENGAGE-baseline",2025-04-26,1,33.8938323045268,1,56.25,0.583333333333333,1,12
"epiENGAGE-baseline",2025-05-03,1,47.2870176735378,1,89.3888888888889,0.444444444444444,1,18
"epiENGAGE-baseline",2025-05-10,1,61.3053212645515,1,134.708333333333,0.333333333333333,1,24
"epiENGAGE-ensemble_mean",2025-04-19,0.63289950262233,21.5796552925036,0.661287664296576,43.7552004542901,0.5,1,6
"epiENGAGE-ensemble_mean",2025-04-26,0.57622509380677,19.5304766991469,0.426103522693149,23.9683231514897,0.75,1,12
"epiENGAGE-ensemble_mean",2025-05-03,0.558574220966537,26.4133090588272,0.599995179297941,53.6329024161326,0.444444444444444,0.888888888888889,18
"epiENGAGE-ensemble_mean",2025-05-10,0.531611550556779,32.5906168948297,0.553803443889468,74.6019389206105,0.333333333333333,1,24
"epiENGAGE-lop_norm",2025-04-19,0.645700806454155,22.0161348960438,0.681049142470302,45.0627515934516,0.5,1,6
"epiENGAGE-lop_norm",2025-04-26,0.578191814274049,19.5971363928547,0.430305467514969,24.204682547717,0.666666666666667,1,12
"epiENGAGE-lop_norm",2025-05-03,0.5558188278559,26.283014736107,0.576970452341501,51.5747476565264,0.444444444444444,0.944444444444444,18
"epiENGAGE-lop_norm",2025-05-10,0.531552997012871,32.5870272510092,0.538948273700816,72.6008237031141,0.375,1,24
"epiforecasts-dyngam",2025-04-19,0.677831139554287,23.1116666666667,0.756926952141058,50.0833333333333,0.333333333333333,1,6
"epiforecasts-dyngam",2025-04-26,0.568330348290117,19.2628935185185,0.485925925925926,27.3333333333333,0.833333333333333,1,12
"epiforecasts-dyngam",2025-05-03,0.518157479981907,24.5021219135802,0.556246115599751,49.7222222222222,0.666666666666667,0.944444444444444,18
"epiforecasts-dyngam",2025-05-10,0.480219702643842,29.4400231481481,0.484843798329725,65.3125,0.541666666666667,1,24
